"arm","strategy","fit_unit_id","group_size","start_path_position","end_path_position","candidate_model","fit_status","criterion_eligible","n_observations","n_episodes","AIC","BIC","r_per_day","K","N_init"
"C","independent","MDA-MB-231_C_A33_seed",,35,35,"logistic__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A34_seed",,36,36,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A34_seed",,36,36,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A34_seed",,36,36,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A34_seed",,36,36,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A35_seed",,37,37,"exponential__normal","ok",TRUE,3,1,94.7536567979384,92.0494936639427,0.455148006620536,,1302848.92953332
"C","independent","MDA-MB-231_C_A35_seed",,37,37,"logistic__normal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A35_seed",,37,37,"exponential__mean_preserving_lognormal","ok",TRUE,3,1,98.1653417820513,95.4611786480556,0.676530987804631,,598034.458518222
"C","independent","MDA-MB-231_C_A35_seed",,37,37,"logistic__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A36_seed",,38,38,"exponential__normal","ok",TRUE,3,1,96.6906909530366,93.9865278190409,0.387240214506211,,1857115.62915049
"C","independent","MDA-MB-231_C_A36_seed",,38,38,"logistic__normal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A36_seed",,38,38,"exponential__mean_preserving_lognormal","ok",TRUE,3,1,99.2865261307108,96.5823629967151,0.575602214060931,,971302.488578348
"C","independent","MDA-MB-231_C_A36_seed",,38,38,"logistic__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A37_seed",,39,39,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A37_seed",,39,39,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A37_seed",,39,39,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A37_seed",,39,39,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","rolling_2","MDAMB231_promoted_39_episodes_ignore_media__g02__w001",2,1,2,"exponential__normal","ok",TRUE,4,2,133.980151652916,131.525329097395,0.456766190962851,,
"C","rolling_2","MDAMB231_promoted_39_episodes_ignore_media__g02__w001",2,1,2,"logistic__normal","no_residual_degrees_of_freedom",FALSE,4,2,,,,,
"C","rolling_2","MDAMB231_promoted_39_episodes_ignore_media__g02__w001",2,1,2,"exponential__mean_preserving_lognormal","ok",TRUE,4,2,136.047760799158,133.592938243637,0.397838768218509,,
"C","rolling_2","MDAMB231_promoted_39_episodes_ignore_media__g02__w001",2,1,2,"logistic__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,4,2,,,,,
"C","rolling_2","MDAMB231_promoted_39_episodes_ignore_media__g02__w002",2,2,3,"exponential__normal","ok",TRUE,4,2,112.066237805761,109.611415250241,0.763267849728011,,
"C","rolling_2","MDAMB231_promoted_39_episodes_ignore_media__g02__w002",2,2,3,"logistic__normal","no_residual_degrees_of_freedom",FALSE,4,2,,,,,
"C","rolling_2","MDAMB231_promoted_39_episodes_ignore_media__g02__w002",2,2,3,"exponential__mean_preserving_lognormal","ok",TRUE,4,2,116.76655536505,114.31173280953,0.751708165190383,,
"C","rolling_2","MDAMB231_promoted_39_episodes_ignore_media__g02__w002",2,2,3,"logistic__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,4,2,,,,,
"C","rolling_2","MDAMB231_promoted_39_episodes_ignore_media__g02__w003",2,3,4,"exponential__normal","ok",TRUE,5,2,124.90410798472,123.341859634456,0.808091817501499,,
"C","rolling_2","MDAMB231_promoted_39_episodes_ignore_media__g02__w003",2,3,4,"logistic__normal","ok",TRUE,5,2,126.562574410014,124.609763972185,0.834444750967642,110883678.774986,
"C","rolling_2","MDAMB231_promoted_39_episodes_ignore_media__g02__w003",2,3,4,"exponential__mean_preserving_lognormal","ok",TRUE,5,2,133.697837450698,132.135589100434,0.822374792950918,,
"C","rolling_2","MDAMB231_promoted_39_episodes_ignore_media__g02__w003",2,3,4,"logistic__mean_preserving_lognormal","ok",TRUE,5,2,129.557073407279,127.60426296945,0.914710907439224,31029579.4652948,
"C","rolling_2","MDAMB231_promoted_39_episodes_ignore_media__g02__w004",2,4,5,"exponential__normal","ok",TRUE,5,2,126.440607966824,124.878359616561,0.809600879906363,,
"C","rolling_2","MDAMB231_promoted_39_episodes_ignore_media__g02__w004",2,4,5,"logistic__normal","ok",TRUE,5,2,110.136523054532,108.183712616702,0.94118754142831,22022391.8175955,
"C","rolling_2","MDAMB231_promoted_39_episodes_ignore_media__g02__w004",2,4,5,"exponential__mean_preserving_lognormal","ok",TRUE,5,2,130.851475035681,129.289226685418,0.83090966733837,,
